R00315	Black	Node101358
R07461	Black	Node101358
R01353	Black	Node101358
R02530	Coral	Node101358
R02003	Coral	Node101358
R02061	Coral	Node101358
R08059	Coral	Node101358
R01658	Coral	Node101358
R07100	Red	Node101358
R01095	Red	Node101358
R03522	Red	Node101358
R00344	Red	Node101358
R09409	Red	Node101358
R07084	Red	Node101358
R05808	Red	Node101358
R03105	Red	Node101358
R11896	Red	Node101358
R07026	Red	Node101358
R03816	Red	Node101358
R10221	Red	Node101358
R01528	Red	Node101358
R07093	Red	Node101358
R05149	Red	Node101358
R02703	Red	Node101358
R01041	Red	Node101358
R02531	Red	Node101358
R07002	Red	Node101358
R08603	Red	Node101358
R01777	Red	Node101358
R07113	Red	Node101358
R07024	Red	Node101358
R01016	Red	Node101358
R02566	Red	Node101358
R01036	Red	Node101358
R07094	Red	Node101358
R03106	Red	Node101358
R11764	Red	Node101358
R07070	Red	Node101358
R07003	Red	Node101358
R07004	Red	Node101358
R00461	Red	Node101358
R07069	Red	Node101358
R01579	Red	Node101358
R00670	Red	Node101358
R02565	Red	Node101358
R07025	Red	Node101358
R07023	Red	Node101358
R01093	Red	Node101358
R11905	Red	Node101358
R01064	Red	Node101358
R01431	Red	Node101358
R02964	Red	Node101358
R00868	Red	Node101358
R07083	Red	Node101358
R01931	Red	Node101358
R02421	Red	Node101358
R03643	Red	Node101358
R04285	Red	Node101358
R08280	Red	Node101358
R02577	Red	Node101358
R07116	Red	Node101358
R07091	Red	Node101358
R07092	Red	Node101358
R01759	Red	Node101358
R01758	Red	Node101358
R03948	Red	Node101358
R01787	Red	Node101358
R10348	Red	Node101358
R01737	Green	Node101358
R00235	Green	Node101358
R01623	Green	Node101358
R00236	Green	Node101358
R08856	Green	Node101358
R01983	Green	Node101358
R01482	Green	Node101358
R11183	Green	Node101358
R03877	Green	Node101358
R00926	Green	Node101358
R00420	Green	Node101358
R01639	Green	Node101358
R02283	Green	Node101358
R00316	Green	Node101358
R01354	Green	Node101358
R00667	Green	Node101358
R02326	Blue	Node101358
R00156	Blue	Node101358
R00124	Blue	Node101358
R04138	Blue	Node101358
R07899	Blue	Node101358
R00927	Blue	Node101358
R02093	Blue	Node101358
R05586	Blue	Node101358
R02000	Blue	Node101358
R00570	Blue	Node101358
R01857	Blue	Node101358
R11895	Blue	Node101358
R11894	Blue	Node101358
R04385	Blue	Node101358
R00139	Blue	Node101358
R02331	Blue	Node101358
R08091	Blue	Node101358
R02984	Blue	Node101358
R00289	Blue	Node101358
R03530	Blue	Node101358
R03991	Blue	Node101358
R01859	Blue	Node101358
R03778	Blue	Node101358
R07895	Blue	Node101358
R04546	Blue	Node101358
R07891	Blue	Node101358
R00330	Blue	Node101358
R01137	Blue	Node101358
R04742	Blue	Node101358
R00829	Blue	Node101358
R08095	Blue	Node101358
R00291	Blue	Node101358
R05196	Blue	Node101358
R04747	Blue	Node101358
R05506	Blue	Node101358
R10695	Blue	Node101358
R03858	Blue	Node101358
R02240	Blue	Node101358
R05118	Blue	Node101358
R00722	Blue	Node101358
R08165	Yellow	Node101358
R04031	Yellow	Node101358
R05617	Yellow	Node101358
R10757	Yellow	Node101358
R06858	Yellow	Node101358
R10938	Yellow	Node101358
R02327	Magenta	Node101358
R08232	Magenta	Node101358
R02371	Magenta	Node101358
R02091	Magenta	Node101358
R02096	Magenta	Node101358
R00962	Magenta	Node101358
R07280	Magenta	Node101358
R01548	Magenta	Node101358
R00967	Magenta	Node101358
R02332	Magenta	Node101358
R05287	Magenta	Node101358
R02372	Magenta	Node101358
R00513	Magenta	Node101358
R00964	Magenta	Node101358
R00548	Magenta	Node101358
R01880	Magenta	Node101358
R01549	Magenta	Node101358
R02097	Magenta	Node101358
R00517	Magenta	Node101358
R00968	Magenta	Node101358
R00970	Magenta	Node101358
R00516	Magenta	Node101358
R01302	Gray	Node101358
R00251	Gray	Node101358
R09492	Gray	Node101358
R11335	Gray	Node101358
R02539	Gray	Node101358
R00227	Gray	Node101358
R00411	Gray	Node101358
R04189	Gray	Node101358
R09839	Gray	Node101358
R00751	Gray	Node101358
R02485	Gray	Node101358
R09840	Gray	Node101358
R00885	Gray	Node101358
R03187	Gray	Node101358
R00787	Gray	Node101358
R01374	Gray	Node101358
R08221	Gray	Node101358
R09837	Gray	Node101358
R00931	Gray	Node101358
R06171	Gray	Node101358
R03443	Gray	Node101358
R06558	Gray	Node101358
R09820	Gray	Node101358
R09836	Gray	Node101358
R00847	Gray	Node101358
R00409	Gray	Node101358
R04148	Gray	Node101358
R05222	Gray	Node101358
R10343	Gray	Node101358
R05221	Gray	Node101358
R01878	Gray	Node101358
R09493	Gray	Node101358
R06930	Orange	Node101358
R00940	Orange	Node101358
R00937	Orange	Node101358
R06937	Orange	Node101358
R05426	Orange	Node101358
R11765	Orange	Node101358
R04425	Orange	Node101358
R10159	Orange	Node101358
R00939	Orange	Node101358
R02236	Orange	Node101358
R05422	Orange	Node101358
R02235	Orange	Node101358
R02968	Orange	Node101358
R07710	Orange	Node101358
R00936	Orange	Node101358
R07633	Orange	Node101358
R05427	Orange	Node101358
R07704	Orange	Node101358
R06909	Orange	Node101358
R05423	Orange	Node101358
R01540	Orange	Node101358
R05608	Orange	Node101358
R05424	Orange	Node101358
R07706	Orange	Node101358
R07709	Orange	Node101358
R09159	Orange	Node101358
R09233	Orange	Node101358
R02777	Orange	Node101358
R05425	Orange	Node101358
R09767	Purple	Node101358
R00658	Purple	Node101358
R04173	Purple	Node101358
R03164	Purple	Node101358
R05085	Purple	Node101358
R11104	Purple	Node101358
R04710	Purple	Node101358
R10002	Purple	Node101358
R09978	Purple	Node101358
R08781	Pink	Node101358
R08769	Pink	Node101358
R04988	Pink	Node101358
R05614	Pink	Node101358
